runId,configuration,workload,iteration,warmup,seconds,nsPerOperation,MiBPerSecond,affinityResult,continuity,conditionValid,binarySha256,scratchRemains,reportedVmExitDelta,source,valid
windows1-off-post-no-vmware-cpu-00-20260915T201545999Z,off-post-no-vmware,integer-xorshift,0,True,0.121985,1.2198,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-00-20260915T201545999Z.json,True
windows1-off-post-no-vmware-cpu-01-20260915T201546624Z,off-post-no-vmware,integer-xorshift,1,False,0.1236152,1.2362,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-01-20260915T201546624Z.json,True
windows1-off-post-no-vmware-cpu-02-20260915T201552884Z,off-post-no-vmware,integer-xorshift,2,False,0.1244863,1.2449,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-02-20260915T201552884Z.json,True
windows1-off-post-no-vmware-cpu-03-20260915T201553291Z,off-post-no-vmware,integer-xorshift,3,False,0.1224196,1.2242,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-03-20260915T201553291Z.json,True
windows1-off-post-no-vmware-cpu-04-20260915T201558105Z,off-post-no-vmware,integer-xorshift,4,False,0.122726,1.2273,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-04-20260915T201558105Z.json,True
windows1-off-post-no-vmware-cpu-05-20260915T201600777Z,off-post-no-vmware,integer-xorshift,5,False,0.1234195,1.2342,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-05-20260915T201600777Z.json,True
windows1-off-post-no-vmware-cpu-06-20260915T201603386Z,off-post-no-vmware,integer-xorshift,6,False,0.1227477,1.2275,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-06-20260915T201603386Z.json,True
windows1-off-post-no-vmware-cpu-07-20260915T201603730Z,off-post-no-vmware,integer-xorshift,7,False,0.1209892,1.2099,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-07-20260915T201603730Z.json,True
windows1-off-post-no-vmware-cpuid-00-20260915T201545796Z,off-post-no-vmware,cpuid-leaf0,0,True,0.0343203,343.203,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-00-20260915T201545796Z.json,True
windows1-off-post-no-vmware-cpuid-01-20260915T201546531Z,off-post-no-vmware,cpuid-leaf0,1,False,0.0331795,331.795,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-01-20260915T201546531Z.json,True
windows1-off-post-no-vmware-cpuid-02-20260915T201552775Z,off-post-no-vmware,cpuid-leaf0,2,False,0.033238,332.38,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-02-20260915T201552775Z.json,True
windows1-off-post-no-vmware-cpuid-03-20260915T201553087Z,off-post-no-vmware,cpuid-leaf0,3,False,0.0330798,330.798,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-03-20260915T201553087Z.json,True
windows1-off-post-no-vmware-cpuid-04-20260915T201555980Z,off-post-no-vmware,cpuid-leaf0,4,False,0.0359253,359.253,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-04-20260915T201555980Z.json,True
windows1-off-post-no-vmware-cpuid-05-20260915T201558558Z,off-post-no-vmware,cpuid-leaf0,5,False,0.0334934,334.934,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-05-20260915T201558558Z.json,True
windows1-off-post-no-vmware-cpuid-06-20260915T201601074Z,off-post-no-vmware,cpuid-leaf0,6,False,0.0327337,327.337,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-06-20260915T201601074Z.json,True
windows1-off-post-no-vmware-cpuid-07-20260915T201605845Z,off-post-no-vmware,cpuid-leaf0,7,False,0.0322213,322.213,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-07-20260915T201605845Z.json,True
windows1-off-post-no-vmware-disk-00-20260915T201543765Z,off-post-no-vmware,disk-direct-write-64MiB,0,True,0.0789577,1233714.0625,810.5606,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-00-20260915T201543765Z.json,True
windows1-off-post-no-vmware-disk-00-20260915T201543765Z,off-post-no-vmware,disk-direct-read-64MiB,0,True,0.0382889,598264.0625,1671.5027,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-00-20260915T201543765Z.json,True
windows1-off-post-no-vmware-disk-01-20260915T201546921Z,off-post-no-vmware,disk-direct-write-64MiB,1,False,1.3690509,21391420.3125,46.7477,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-01-20260915T201546921Z.json,True
windows1-off-post-no-vmware-disk-01-20260915T201546921Z,off-post-no-vmware,disk-direct-read-64MiB,1,False,0.0319956,499931.25,2000.275,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-01-20260915T201546921Z.json,True
windows1-off-post-no-vmware-disk-02-20260915T201550649Z,off-post-no-vmware,disk-direct-write-64MiB,2,False,0.042428,662937.5,1508.4378,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-02-20260915T201550649Z.json,True
windows1-off-post-no-vmware-disk-02-20260915T201550649Z,off-post-no-vmware,disk-direct-read-64MiB,2,False,0.0324076,506368.75,1974.8454,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-02-20260915T201550649Z.json,True
windows1-off-post-no-vmware-disk-03-20260915T201553838Z,off-post-no-vmware,disk-direct-write-64MiB,3,False,0.0365422,570971.875,1751.3998,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-03-20260915T201553838Z.json,True
windows1-off-post-no-vmware-disk-03-20260915T201553838Z,off-post-no-vmware,disk-direct-read-64MiB,3,False,0.0312986,489040.625,2044.8199,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-03-20260915T201553838Z.json,True
windows1-off-post-no-vmware-disk-04-20260915T201555838Z,off-post-no-vmware,disk-direct-write-64MiB,4,False,0.0407064,636037.5,1572.2343,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-04-20260915T201555838Z.json,True
windows1-off-post-no-vmware-disk-04-20260915T201555838Z,off-post-no-vmware,disk-direct-read-64MiB,4,False,0.0370752,579300.0,1726.2213,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-04-20260915T201555838Z.json,True
windows1-off-post-no-vmware-disk-05-20260915T201558652Z,off-post-no-vmware,disk-direct-write-64MiB,5,False,0.0412381,644345.3125,1551.9629,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-05-20260915T201558652Z.json,True
windows1-off-post-no-vmware-disk-05-20260915T201558652Z,off-post-no-vmware,disk-direct-read-64MiB,5,False,0.0337527,527385.9375,1896.1446,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-05-20260915T201558652Z.json,True
windows1-off-post-no-vmware-disk-06-20260915T201603574Z,off-post-no-vmware,disk-direct-write-64MiB,6,False,0.0567404,886568.75,1127.9441,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-06-20260915T201603574Z.json,True
windows1-off-post-no-vmware-disk-06-20260915T201603574Z,off-post-no-vmware,disk-direct-read-64MiB,6,False,0.0322629,504107.8125,1983.7026,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-06-20260915T201603574Z.json,True
windows1-off-post-no-vmware-disk-07-20260915T201605715Z,off-post-no-vmware,disk-direct-write-64MiB,7,False,0.034583,540359.375,1850.6202,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-07-20260915T201605715Z.json,True
windows1-off-post-no-vmware-disk-07-20260915T201605715Z,off-post-no-vmware,disk-direct-read-64MiB,7,False,0.0314451,491329.6875,2035.2933,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-07-20260915T201605715Z.json,True
windows1-off-post-no-vmware-latency-00-20260915T201543968Z,off-post-no-vmware,pointer-chase-64MiB,0,True,0.7808049,93.0792,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-latency-00-20260915T201543968Z.json,True
windows1-off-post-no-vmware-latency-01-20260915T201548712Z,off-post-no-vmware,pointer-chase-64MiB,1,False,0.7251623,86.4461,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-latency-01-20260915T201548712Z.json,True
windows1-off-post-no-vmware-latency-02-20260915T201550803Z,off-post-no-vmware,pointer-chase-64MiB,2,False,0.7638266,91.0552,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-latency-02-20260915T201550803Z.json,True
windows1-off-post-no-vmware-latency-03-20260915T201553963Z,off-post-no-vmware,pointer-chase-64MiB,3,False,0.7177934,85.5676,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-latency-03-20260915T201553963Z.json,True
windows1-off-post-no-vmware-latency-04-20260915T201556183Z,off-post-no-vmware,pointer-chase-64MiB,4,False,0.8071189,96.2161,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-latency-04-20260915T201556183Z.json,True
windows1-off-post-no-vmware-latency-05-20260915T201558792Z,off-post-no-vmware,pointer-chase-64MiB,5,False,0.7856693,93.6591,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-latency-05-20260915T201558792Z.json,True
windows1-off-post-no-vmware-latency-06-20260915T201601558Z,off-post-no-vmware,pointer-chase-64MiB,6,False,0.7945007,94.7119,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-latency-06-20260915T201601558Z.json,True
windows1-off-post-no-vmware-latency-07-20260915T201604012Z,off-post-no-vmware,pointer-chase-64MiB,7,False,0.7361542,87.7564,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-latency-07-20260915T201604012Z.json,True
windows1-off-post-no-vmware-memory-00-20260915T201546202Z,off-post-no-vmware,memcpy-32MiB,0,True,0.1562326,2441134.375,13108.6598,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-memory-00-20260915T201546202Z.json,True
windows1-off-post-no-vmware-memory-01-20260915T201548493Z,off-post-no-vmware,memcpy-32MiB,1,False,0.1426921,2229564.0625,14352.5815,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-memory-01-20260915T201548493Z.json,True
windows1-off-post-no-vmware-memory-02-20260915T201552525Z,off-post-no-vmware,memcpy-32MiB,2,False,0.1509413,2358457.8125,13568.1884,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-memory-02-20260915T201552525Z.json,True
windows1-off-post-no-vmware-memory-03-20260915T201553588Z,off-post-no-vmware,memcpy-32MiB,3,False,0.1594922,2492065.625,12840.7533,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-memory-03-20260915T201553588Z.json,True
windows1-off-post-no-vmware-memory-04-20260915T201555604Z,off-post-no-vmware,memcpy-32MiB,4,False,0.1526472,2385112.5,13416.5579,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-memory-04-20260915T201555604Z.json,True
windows1-off-post-no-vmware-memory-05-20260915T201558292Z,off-post-no-vmware,memcpy-32MiB,5,False,0.1655759,2587123.4375,12368.9498,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-memory-05-20260915T201558292Z.json,True
windows1-off-post-no-vmware-memory-06-20260915T201601183Z,off-post-no-vmware,memcpy-32MiB,6,False,0.1838159,2872123.4375,11141.5824,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-memory-06-20260915T201601183Z.json,True
windows1-off-post-no-vmware-memory-07-20260915T201605935Z,off-post-no-vmware,memcpy-32MiB,7,False,0.1446307,2259854.6875,14160.2025,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-memory-07-20260915T201605935Z.json,True
windows1-off-post-no-vmware-net-00-20260915T201546437Z,off-post-no-vmware,tcp-loopback-64MiB,0,True,0.0258498,0.0,2475.8412,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-net-00-20260915T201546437Z.json,True
windows1-off-post-no-vmware-net-01-20260915T201546812Z,off-post-no-vmware,tcp-loopback-64MiB,1,False,0.0264705,0.0,2417.7858,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-net-01-20260915T201546812Z.json,True
windows1-off-post-no-vmware-net-02-20260915T201550431Z,off-post-no-vmware,tcp-loopback-64MiB,2,False,0.0260032,0.0,2461.2355,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-net-02-20260915T201550431Z.json,True
windows1-off-post-no-vmware-net-03-20260915T201553181Z,off-post-no-vmware,tcp-loopback-64MiB,3,False,0.0304722,0.0,2100.275,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-net-03-20260915T201553181Z.json,True
windows1-off-post-no-vmware-net-04-20260915T201557995Z,off-post-no-vmware,tcp-loopback-64MiB,4,False,0.0282196,0.0,2267.9273,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-net-04-20260915T201557995Z.json,True
windows1-off-post-no-vmware-net-05-20260915T201600667Z,off-post-no-vmware,tcp-loopback-64MiB,5,False,0.0288886,0.0,2215.4068,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-net-05-20260915T201600667Z.json,True
windows1-off-post-no-vmware-net-06-20260915T201601449Z,off-post-no-vmware,tcp-loopback-64MiB,6,False,0.0278975,0.0,2294.1124,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-net-06-20260915T201601449Z.json,True
windows1-off-post-no-vmware-net-07-20260915T201603933Z,off-post-no-vmware,tcp-loopback-64MiB,7,False,0.025563,0.0,2503.6185,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-net-07-20260915T201603933Z.json,True
windows1-off-post-no-vmware-ping-00-20260915T201545906Z,off-post-no-vmware,tcp-loopback-rtt-1B,0,True,0.0263312,13165.6,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-ping-00-20260915T201545906Z.json,True
windows1-off-post-no-vmware-ping-01-20260915T201548399Z,off-post-no-vmware,tcp-loopback-rtt-1B,1,False,0.0230658,11532.9,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-ping-01-20260915T201548399Z.json,True
windows1-off-post-no-vmware-ping-02-20260915T201550540Z,off-post-no-vmware,tcp-loopback-rtt-1B,2,False,0.0243045,12152.25,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-ping-02-20260915T201550540Z.json,True
windows1-off-post-no-vmware-ping-03-20260915T201553494Z,off-post-no-vmware,tcp-loopback-rtt-1B,3,False,0.0249127,12456.35,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-ping-03-20260915T201553494Z.json,True
